symbol,name,price,marketCap,volume,industry
BMY,Bristol-Myers Squibb Company Common Stock,59.46,121421556347.0,6489214,Health Care
SYK,Stryker Corporation Common Stock,316.48,121326013958.0,1893069,Health Care
LOW,Lowe's Companies Inc. Common Stock,215.03,120430439138.0,2801317,Consumer Discretionary
CVS,CVS Health Corporation Common Stock,93.26,118992980651.0,4838475,Consumer Staples
SBUX,Starbucks Corporation Common Stock,103.11,117514467000.0,9095677,Consumer Discretionary
COF,Capital One Financial Corporation Common Stock,187.79,116860361720.0,3291902,Finance
PGR,Progressive Corporation (The) Common Stock,199.51,116580967933.0,5461068,Finance
NEM,Newmont Corporation,107.64,114911379517.0,5038860,Basic Materials
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,434.52,110283529795.0,1746303,Health Care
PH,Parker-Hannifin Corporation Common Stock,866.96,109311855807.0,702930,Industrials
PWR,Quanta Services Inc. Common Stock,723.44,108559514193.0,774763,Industrials
SO,Southern Company (The) Common Stock,94.55,106682639454.0,3396162,Utilities
EQIX,Equinix Inc. Common Stock REIT,1079.79,106493476748.0,427151,Real Estate
CEG,Constellation Energy Corporation Common Stock ,294.07,106215161826.0,2877684,Utilities
CME,CME Group Inc. Class A Common Stock,291.23,105529912627.0,1437449,Finance
NOW,ServiceNow Inc. Common Stock,102.13,105296030000.0,23544968,Technology
CDNS,Cadence Design Systems Inc. Common Stock,373.59,103042099440.0,2206181,Technology
HWM,Howmet Aerospace Inc. Common Stock,256.55,102647574764.0,1694813,Industrials
MDT,Medtronic plc. Ordinary Shares,78.6,100913358170.0,7051354,Health Care
SNPS,Synopsys Inc. Common Stock,524.74,100520258048.0,1873067,Technology
ADBE,Adobe Inc. Common Stock,244.76,98931992000.0,3779271,Technology
FTNT,Fortinet Inc. Common Stock,133.93,98123599007.0,5819073,Technology
DUK,Duke Energy Corporation (Holding Company) Common Stock,125.67,97971856590.0,2446330,Utilities
MAR,Marriott International Class A Common Stock,369.15,97340655180.0,820066,Consumer Discretionary
WMB,Williams Companies Inc. (The) Common Stock,78.47,95968673855.0,6201683,Utilities
BNY,The Bank of New York Mellon Corporation Common Stock,139.15,95509644112.0,3574005,Finance
FDX,FedEx Corporation Common Stock,394.2,94058783215.0,1508084,Consumer Discretionary
GD,General Dynamics Corporation Common Stock,342.89,92727806820.0,689314,Industrials
MCK,McKesson Corporation Common Stock,766.08,92085919390.0,2323944,Health Care
ADP,Automatic Data Processing Inc. Common Stock,225.31,90719801653.0,2282603,Industrials
CMCSA,Comcast Corporation Class A Common Stock,25.205,90078170151.0,26573582,Telecommunications
FCX,Freeport-McMoRan Inc. Common Stock,61.99,89114336031.0,7855960,Basic Materials
CMI,Cummins Inc. Common Stock,639.55,88250907800.0,1106868,Industrials
BX,Blackstone Inc. Common Stock,118.51,88038685928.0,3968650,Finance
PNC,PNC Financial Services Group Inc. (The) Common Stock,219.23,88035014273.0,1204526,Finance
INTU,Intuit Inc. Common Stock,319.94,87515427780.0,12469556,Technology
WM,Waste Management Inc. Common Stock,217.9,87503356361.0,1908897,Utilities
HCA,HCA Healthcare Inc. Common Stock,394.07,87420409986.0,1109789,Health Care
ICE,Intercontinental Exchange Inc. Common Stock,152.97,86506446360.0,2827786,Finance
BE,Bloom Energy Corporation Class A Common Stock,302.49,86041425631.0,9487806,Energy
BSX,Boston Scientific Corporation Common Stock,57.78,85881602243.0,11738128,Health Care
UPS,United Parcel Service Inc. Common Stock,101.02,85867634305.0,4539723,Industrials
EPD,Enterprise Products Partners L.P. Common Stock,39.63,85740229080.0,3553700,Utilities
ELV,Elevance Health Inc. Common Stock,394.69,85711819762.0,1090599,Health Care
AMT,American Tower Corporation (REIT) Common Stock,183.85,85654440736.0,2069903,Real Estate
USB,U.S. Bancorp Common Stock,54.83,85112595018.0,5106945,Finance
MNST,Monster Beverage Corporation,86.79,84881323867.0,3238953,Consumer Staples
CSX,CSX Corporation Common Stock,45.52,84582480725.0,10761157,Industrials
KKR,KKR & Co. Inc. Common Stock,94.04,84435971372.0,2824886,Finance
CIEN,Ciena Corporation Common Stock,583.74,82539917777.0,1622505,Utilities
ABNB,Airbnb Inc. Class A Common Stock,132.35,79767996559.0,3097348,Consumer Discretionary
MMM,3M Company Common Stock,152.44,79507713267.0,3209079,Health Care
MDLZ,Mondelez International Inc. Class A Common Stock,61.76,79278209548.0,7049620,Consumer Staples
DDOG,Datadog Inc. Class A Common Stock,222.32,79137069218.0,4870864,Technology
MRSH,Marsh Common Stock,164.11,79067295559.0,2464165,Finance
NOC,Northrop Grumman Corporation Common Stock,555.58,78910958596.0,651954,Industrials
RKLB,Rocket Lab Corporation Common Stock,135.76,78587048406.0,32870062,Industrials
MCO,Moody's Corporation Common Stock,449.12,78461264000.0,502890,Finance
MPWR,Monolithic Power Systems Inc. Common Stock,1589.81,78107365300.0,476644,Technology
EMR,Emerson Electric Company Common Stock,136.42,76408842000.0,2950718,Technology
NET,Cloudflare Inc. Class A Common Stock,216.17,76408798614.0,2109440,Technology
SHW,Sherwin-Williams Company (The) Common Stock,309.08,76230137739.0,1274418,Consumer Discretionary
ORLY,O'Reilly Automotive Inc. Common Stock,91.74,76026321347.0,4453732,Consumer Discretionary
CI,The Cigna Group Common Stock,286.24,75719755321.0,1435096,Health Care
ROST,Ross Stores Inc. Common Stock,234.81,75643606632.0,4588684,Consumer Discretionary
EOG,EOG Resources Inc. Common Stock,141.22,75217801007.0,2515052,Energy
KMI,Kinder Morgan Inc. Common Stock,33.79,75176862329.0,6676520,Utilities
CVNA,Carvana Co. Class A Common Stock,68.28,74891944327.0,9360991,Consumer Discretionary
MPC,Marathon Petroleum Corporation Common Stock,254.65,74341664103.0,1926237,Energy
APO,Apollo Global Management Inc. (New) Common Stock,128.51,74088265596.0,2524742,Finance
COHR,Coherent Corp. Common Stock,377.57,73867538430.0,3979723,Technology
LITE,Lumentum Holdings Inc. Common Stock,946.9,73668820000.0,3060442,Telecommunications
VLO,Valero Energy Corporation Common Stock,246.96,73330519843.0,2532820,Energy
HLT,Hilton Worldwide Holdings Inc. Common Stock ,321.08,73093339282.0,1053735,Consumer Discretionary
ITW,Illinois Tool Works Inc. Common Stock,252.2,72557940000.0,874185,Industrials
CL,Colgate-Palmolive Company Common Stock,90.61,72505153379.0,3771890,Consumer Discretionary
AEP,American Electric Power Company Inc. Common Stock,131.59,71598781161.0,3280580,Utilities
ECL,Ecolab Inc. Common Stock,253.32,71293748007.0,1254714,Consumer Discretionary
PSX,Phillips 66 Common Stock,177.69,71242143704.0,1898491,Energy
GM,General Motors Company Common Stock,78.79,71042200714.0,6440863,Industrials
NSC,Norfolk Southern Corporation Common Stock,314.53,70641551135.0,1600147,Industrials
DASH,DoorDash Inc. Class A Common Stock,160.25,69823925201.0,5102814,Technology
AON,Aon plc Class A Ordinary Shares (Ireland),324.78,69365521496.0,928979,Finance
CTAS,Cintas Corporation Common Stock,172.93,69195670831.0,1338500,Industrials
ET,Energy Transfer LP Common Units ,20.07,69064066689.0,6858003,Utilities
RCL,Royal Caribbean Cruises Ltd. Common Stock,256.1,68684733866.0,3179904,Consumer Discretionary
TDG,Transdigm Group Incorporated Common Stock,1213.51,67875962306.0,448608,Industrials
WBD,Warner Bros. Discovery Inc. Series A Common Stock ,27.03,67767905055.0,19346827,Consumer Discretionary
DLR,Digital Realty Trust Inc. Common Stock,192.03,67480507622.0,1692502,Real Estate
MSI,Motorola Solutions Inc. Common Stock,404.08,67075494775.0,957105,Technology
REGN,Regeneron Pharmaceuticals Inc. Common Stock,638.88,66979560764.0,994942,Health Care
HOOD,Robinhood Markets Inc. Class A Common Stock,73.64,66313192397.0,20716133,Finance
SPG,Simon Property Group Inc. Common Stock,204.41,66288100912.0,1152017,Real Estate
NKE,Nike Inc. Common Stock,44.67,66151223764.0,14885712,Consumer Discretionary
BKR,Baker Hughes Company Class A Common Stock,66.06,65536058124.0,8382620,Consumer Discretionary
TRV,The Travelers Companies Inc. Common Stock,306.46,65167092617.0,1386716,Finance
APD,Air Products and Chemicals Inc. Common Stock,289.47,64459378176.0,1038018,Basic Materials
FIX,Comfort Systems USA Inc. Common Stock,1828.25,64358831678.0,251971,Industrials
RSG,Republic Services Inc. Common Stock,208.93,64280257697.0,1611978,Utilities
SRE,DBA Sempra Common Stock,92.8,60664046813.0,2201907,Utilities
TFC,Truist Financial Corporation Common Stock,48.38,60275639325.0,5461289,Finance
AFL,AFLAC Incorporated Common Stock,117.86,59988960785.0,2296174,Finance
SNOW,Snowflake Inc. Common Stock,172.2,59684740933.0,5951086,Technology
D,Dominion Energy Inc. Common Stock,67.67,59512747121.0,6459872,Utilities
F,Ford Motor Company Common Stock,14.93,59491460966.0,109610292,Industrials
KEYS,Keysight Technologies Inc. Common Stock,346.56,59435904667.0,1626796,Industrials
TRGP,Targa Resources Inc. Common Stock,276.75,59402700155.0,808815,Utilities
OKE,ONEOK Inc. Common Stock,94.03,59241989074.0,3099548,Utilities
GWW,W.W. Grainger Inc. Common Stock,1247.79,58912057757.0,280050,Industrials
URI,United Rentals Inc. Common Stock,938.62,58801311331.0,339322,Consumer Discretionary
OXY,Occidental Petroleum Corporation Common Stock,58.81,58494466766.0,7904164,Energy
SOMN,Southern Company (The) 2025 Series A Corporate Units,51.68,58311568556.0,65208,Basic Materials
LHX,L3Harris Technologies Inc. Common Stock,311.98,58120298813.0,944803,Industrials
O,Realty Income Corporation Common Stock,62.02,57833186711.0,4332474,Real Estate
CRWV,CoreWeave Inc. Class A Common Stock,105.49,57552215800.0,19870355,Technology
PCAR,PACCAR Inc. Common Stock,109.35,57549399141.0,2403844,Consumer Discretionary
MPLX,MPLX LP Common Units Representing Limited Partner Interests,56.47,57302013112.0,1789221,Energy
TGT,Target Corporation Common Stock,125.6,57044536623.0,4943006,Consumer Discretionary
FANG,Diamondback Energy Inc. Common Stock,200.71,56462391841.0,1523050,Energy
AZO,AutoZone Inc. Common Stock,3406.5,56128287330.0,511967,Consumer Discretionary
TER,Teradyne Inc. Common Stock,358.44,56110972547.0,2708488,Industrials
MSTR,Strategy Inc Common Stock Class A,159.89,56033110254.0,12716683,Technology
ALL,Allstate Corporation (The) Common Stock,216.6,55757373438.0,1247422,Finance
CBRS,Cerebras Systems Inc. Class A Common Stock,256.78,55266384758.0,11763492,Technology
MET,MetLife Inc. Common Stock,84.06,54087295643.0,3779151,Finance
PSA,Public Storage Common Stock,305.25,53585339577.0,675914,Real Estate
COR,Cencora Inc. Common Stock,274.91,53486781005.0,2145834,Health Care
SE,Sea Limited American Depositary Shares each representing one Class A Ordinary Share,87.27,53451524235.0,2712813,Consumer Discretionary
CTVA,Corteva Inc. Common Stock ,79.56,53211319200.0,2135407,Consumer Staples
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,342.49,53081026364.0,158,Industrials
NUE,Nucor Corporation Common Stock,232.0,52835900400.0,1135848,Industrials
CARR,Carrier Global Corporation Common Stock ,63.14,52775182709.0,4926840,Industrials
VST,Vistra Corp. Common Stock,156.27,52691504274.0,8048942,Utilities
ALAB,Astera Labs Inc. Common Stock,306.88,52601668320.0,6515533,Technology
AJG,Arthur J. Gallagher & Co. Common Stock,204.75,52600275000.0,1240698,Finance
EBAY,eBay Inc. Common Stock,115.75,51510044201.0,4202666,Consumer Discretionary
NDAQ,Nasdaq Inc. Common Stock,91.01,51469868026.0,2549686,Finance
ETR,Entergy Corporation Common Stock,112.4,51466481603.0,2768354,Utilities
AME,AMETEK Inc.,224.52,51460658009.0,891694,Industrials
ADSK,Autodesk Inc. Common Stock,240.99,50883894038.0,2455226,Technology
HBANL,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock,25.1,50880977734.0,13897,Finance
XEL,Xcel Energy Inc. Common Stock,81.08,50615775925.0,3738060,Utilities
MCHP,Microchip Technology Incorporated Common Stock,93.43,50558285841.0,8837362,Technology
LNG,Cheniere Energy Inc. Common Stock,240.85,50470567408.0,1978367,Utilities
FAST,Fastenal Company Common Stock,43.94,50444660580.0,5583179,Consumer Discretionary
EA,Electronic Arts Inc. Common Stock,200.97,50393525739.0,2334300,Consumer Discretionary
ROK,Rockwell Automation Inc. Common Stock,452.29,50328096202.0,858103,Industrials
DAL,Delta Air Lines Inc. Common Stock,76.14,50023549048.0,6437004,Consumer Discretionary
HPE,Hewlett Packard Enterprise Company Common Stock,37.58,49863176665.0,30706286,Technology
EW,Edwards Lifesciences Corporation Common Stock,85.78,49392124000.0,4941674,Health Care
COIN,Coinbase Global Inc. Class A Common Stock,184.99,48728421979.0,7894510,Finance
MDLN,Medline Inc. Class A Common Stock,37.01,48619598950.0,43069862,Health Care
GFS,GlobalFoundries Inc. Ordinary Shares,85.64,47651573804.0,11779280,Technology
EXC,Exelon Corporation Common Stock,46.23,47302912405.0,9228187,Utilities
CAH,Cardinal Health Inc. Common Stock,200.68,47000430981.0,1537245,Health Care
ON,ON Semiconductor Corporation Common Stock,116.2,45539150794.0,8492581,Technology
FITB,Fifth Third Bancorp Common Stock,49.48,44844295395.0,3609061,Finance
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,22.07,44738772055.0,5393,Finance
PCG,Pacific Gas & Electric Co. Common Stock,16.49,44192677564.0,14143441,Utilities
IDXX,IDEXX Laboratories Inc. Common Stock,559.37,44124782032.0,465966,Health Care
ODFL,Old Dominion Freight Line Inc. Common Stock,210.47,43771084523.0,1269908,Industrials
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,256.41,43506968288.0,783307,Industrials
MCHPP,Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock,79.59,43068971102.0,10940,Technology
VTR,Ventas Inc. Common Stock,88.18,42870446174.0,2827084,Real Estate
MSCI,MSCI Inc. Common Stock,588.55,42846440000.0,412307,Consumer Discretionary
YUM,Yum! Brands Inc.,155.15,42762629490.0,1640556,Consumer Discretionary
STT,State Street Corporation Common Stock,153.95,42608284730.0,1542265,Finance
CMG,Chipotle Mexican Grill Inc. Common Stock,32.89,42189121260.0,18624197,Consumer Discretionary
TTWO,Take-Two Interactive Software Inc. Common Stock,227.55,42136675013.0,7045317,Consumer Discretionary
HEI,Heico Corporation Common Stock,301.04,42000618835.0,480777,Industrials
HBANZ,Huntington Bancshares Incorporated Depositary Shares Each Representing a 1/1000th Interest in a Share of 5.50% Series L Non-Cumulative Perpetual Preferred Stock,20.41,41373735281.0,18173,Finance
KR,Kroger Company (The) Common Stock,67.25,41199633676.0,5117305,Consumer Staples
ASTS,AST SpaceMobile Inc. Class A Common Stock,105.86,41086867192.0,30564763,Consumer Discretionary
ARES,Ares Management Corporation Class A Common Stock,124.41,41036343151.0,1751233,Finance
AIG,American International Group Inc. New Common Stock,77.05,40852389328.0,2533768,Finance
DHI,D.R. Horton Inc. Common Stock,143.73,40758897776.0,1811285,Consumer Discretionary
BDX,Becton Dickinson and Company Common Stock,147.63,40678033238.0,1291274,Health Care
AMP,Ameriprise Financial Inc. Common Stock,452.31,40661350064.0,629725,Finance
XYZ,Block Inc. Class A Common Stock,68.08,40519922480.0,5627541,Technology
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,218.41,40285711395.0,8510379,Technology
ED,Consolidated Edison Inc. Common Stock,108.54,40000214181.0,2238113,Utilities
CCI,Crown Castle Inc. Common Stock,91.46,39917898365.0,3045252,Real Estate
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,297.45,39713314839.0,681280,Health Care
PEG,Public Service Enterprise Group Incorporated Common Stock,79.51,39621534673.0,2009180,Utilities
KDP,Keurig Dr Pepper Inc. Common Stock,29.12,39619491796.0,5933174,Consumer Staples
HSY,The Hershey Company Common Stock,194.78,39509831998.0,1621008,Consumer Staples
RKT,Rocket Companies Inc. Class A Common Stock,13.79,39017835866.0,17006276,Finance
PYPL,PayPal Holdings Inc. Common Stock,44.23,39015525955.0,10668123,Industrials
LYV,Live Nation Entertainment Inc. Common Stock,165.55,38994816611.0,1225997,Consumer Discretionary
JBL,Jabil Inc. Common Stock,364.35,38439880326.0,800123,Technology
CBRE,CBRE Group Inc Common Stock Class A,131.07,38379469010.0,1784161,Finance
EME,EMCOR Group Inc. Common Stock,848.91,37725796397.0,252276,Industrials
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,194.055,37630834724.0,940,Health Care
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,126.46,37624971159.0,950191,Real Estate
VIK,Viking Holdings Ltd Ordinary Shares,84.23,37548558065.0,2968397,Consumer Discretionary
TRI,Thomson Reuters Corporation Common Shares,85.86,37452600881.0,877305,Consumer Discretionary
ADM,Archer-Daniels-Midland Company Common Stock,77.52,37361269973.0,2468288,Consumer Staples
HIG,The Hartford Insurance Group Inc. Common Stock,136.02,37287274136.0,1067288,Finance
CCL,Carnival Corporation Ltd. Common Shares,25.98,37099851757.0,17155572,Consumer Discretionary
HUM,Humana Inc. Common Stock,307.95,36972938925.0,677908,Health Care
UI,Ubiquiti Inc. Common Stock,610.81,36967494739.0,189642,Technology
WEC,WEC Energy Group Inc. Common Stock,113.41,36940549142.0,2125796,Utilities
PPLC,PPL Corporation Corporate Units,48.86,36759838687.0,73256,Utilities
TKO,TKO Group Holdings Inc. Class A Common Stock,191.5,36600684152.0,556763,Consumer Discretionary
SYY,Sysco Corporation Common Stock,76.29,36480551164.0,3331594,Consumer Discretionary
EQT,EQT Corporation Common Stock,57.92,36227685760.0,5201691,Energy
PRU,Prudential Financial Inc. Common Stock,104.12,36129640000.0,1301594,Finance
SATS,EchoStar  Corporation Common Stock,124.2,35994835210.0,10988302,Consumer Discretionary
STRF,Strategy Inc 10.00% Series A Perpetual Strife Preferred Stock,101.49,35566954529.0,75745,Technology
STRC,Strategy Inc Variable Rate Series A Perpetual Stretch Preferred Stock,99.3,34799473690.0,1719331,Technology
PAYX,Paychex Inc. Common Stock,97.0,34754215457.0,2593382,Industrials
HAL,Halliburton Company Common Stock,41.47,34643944070.0,9324962,Energy
STLD,Steel Dynamics Inc.,240.03,34615393823.0,1187989,Industrials
RBLX,Roblox Corporation Class A Common Stock,48.16,34481536359.0,10128388,Technology
VG,Venture Global Inc. Class A common stock,13.83,34358671555.0,11162149,Utilities
ZTS,Zoetis Inc. Class A Common Stock,81.32,34091630556.0,6327076,Health Care
VMC,Vulcan Materials Company (Holding Company) Common Stock,260.65,33820610775.0,803707,Industrials
KVUE,Kenvue Inc. Common Stock,17.53,33657751950.0,13689704,Consumer Discretionary
WAT,Waters Corporation Common Stock,342.37,33615891176.0,478157,Industrials
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,16.5684,33586310418.0,52513,Finance
ROP,Roper Technologies Inc. Common Stock,326.94,32993921351.0,1015509,Technology
KMB,Kimberly-Clark Corporation Common Stock,99.14,32908566993.0,2265473,Consumer Discretionary
Q,Qnity Electronics Inc. Common Stock,156.93,32851601755.0,1564895,Technology
LVS,Las Vegas Sands Corp. Common Stock,49.43,32754162975.0,3826764,Consumer Discretionary
SYM,Symbotic Inc. Class A Common Stock,54.03,32564249214.0,2922570,Industrials
CPRT,Copart Inc. (DE) Common Stock,33.79,32550190431.0,15032878,Consumer Discretionary
A,Agilent Technologies Inc. Common Stock,114.96,32487962362.0,2036535,Industrials
UAL,United Airlines Holdings Inc. Common Stock,99.96,32444089971.0,4047167,Consumer Discretionary
HBAN,Huntington Bancshares Incorporated Common Stock,15.92,32271918945.0,14028038,Finance
RVMD,Revolution Medicines Inc. Common Stock,151.56,32221119781.0,1933236,Health Care
MLM,Martin Marietta Materials Inc. Common Stock,536.48,32213424432.0,521280,Industrials
